comment_id,comment_text,Sub1_Toxic,Sub2_Engaging,Sub3_FactClaiming
14,Aber eure Generation waren die schlimmsten Verbrecher was Umweltschutz angeht. Vielleicht sollte dafür jetzt auch die Konsequenzen gezogen werden indem man eine Öko-Steuer auf die Renten setzt. 5-10% der Brutto-Rente wäre da schon angebracht. Oder sollen dafür Ihre Enkel und Urenkel aufkommen?,1,1,0
15,"@USER seltsamerweise steigen die Temperaturen mit der sauberen Luft. Seit über 20 Jahren verbessert sich die Luftqualität, seither steigen gleichzeitig die durchschnittliche Mitteltemperatur.",0,0,1
16,"Eine ernsthafte Diskussion ist doch völlig überflüssig. Entweder wird alles abgeschaltet oder abgeschafft, was der Grünen Fraktion nicht beliebt, oder es wird nicht ausreichend gehandelt. Das ist die Mentalität der neuen Trendlemminge aus dem Sektor Klimaschutz.",1,0,0
17,"@USER aus Sicht der grünen Fraktion kurz überschlagen die fossilen Energiestoffe, der Verbrennungsmotor, die industrielle Landwirtschaft, die Grenzen, Schiffs- und Flugverkehr, Fleischverzehr, usw. Reicht das erstmal?",0,1,0
18,"Wenn die Industrie angeblich so extrem viel tut, frage ich mich, warum immer alles schlimmer wird.",0,0,0
19,Die Luftqualität ist nicht besser,0,0,1
20,"Für Deutsche/Einzahler gibt es wieder nix ! Arbeit rechnet sich für viele normale Arbeiter nicht mehr ..so isses korrekt ! Wer zum Mindestlohn ackern muß , hat bei StK 1 netto grad 1147€ ! ALG1 dann ca 769€ und kriegt nach 40 Jahren 514€ Rente . Das ist Fakt und krank 🤬 Das Geld ist da , wird aber hier gebunkert 🤬 https://www.nzz.ch/meinung/kommentare/die-fluechtlingskosten-sind-ein-deutsches-tabuthema-ld.1316333 https://app.handelsblatt.com/politik/deutschland/bundeshaushalt-asylruecklage-waechst-auf-mehr-als-30-milliarden-euro-an/23255758.html?share=fb&ticket=ST-1835264-cgmNTb6ctfzzp9qIjRUW-ap4",1,1,1
21,"Die ""Rentenreform"" der SPD ist ein schlechter Scherz. Warum sollten nur Renter die länger als 35 Jahre gearbeitet haben eine Grundrente von 900 Euro bekommen, was noch unterhalb der Armutsgrenze liegt? Warum sollen Rentner, die weniger gearbeitet haben in noch größerer Armut leben müssen?",0,1,0
22,"Die ""Rentenreform"" der SPD ist ein schlechter Scherz und damit wollen sie sich Wähler kaufen. Sie werden 1. ihre Wahlversprechen nicht einhalten und 2. Warum sollten nur Rentner, die 35 Jahre lang gearbeitet haben, eine Grundrente von 900 Euro beziehen, was noch unterhalb der Armutsgrenze liegt und Rentner, die weniger gearbeitet haben, noch weniger Rente beziehen und mit noch weniger Geld vor sich hin wegitieren? JEDER Mensch hat einen anspruch auf ein meschenwürdiges Leben und Teilhabe an der Gesellschaft. Für mich ist das absolute Minimumg eine sanktionsfreie Mindestsicherung von 1050€ nach dem Vorschlag der Partei DIE LINKE. Besser finde ich aber das Grundeinkommenszonzept der BAG Grundeinkommen DIE LINKE.",0,1,1
23,"Wie wäre es dann mit einem (bedingungslosen) Grundeinkommen? Es würde jeder Erwachsene bekommen und dann kann jeder entscheiden, wie er sein Leben gestalten möchte.",0,1,0
24,Und jede Form des Einkommens wird ab einer bestimmten Höhe besteuert. Details gibt es z.B. bei der BAG Grundeinkommen.,0,1,1
25,"@USER Nein, bei der Finanzierung liegst du komplett falsch. Ich verweise mal mal auf die Ausarbeitung der BAG Grundeinkommen und auf meine Zusammenstellung über das Grundlegende Wissen über unser Geld- und Wirtschaftssystem. Da vereise ich auf Heiner Flassbeck mit seinem Makroskop und Heinz Josef Bontrup, die selber aber keine Verfechter des Grundeinkommen sind. Weitere gute Quellen über unser Geld- und Wirtschaftssystem sind Bernd Senf. Mr Dax Dirk Müller und Sahra Wagenknecht Ergänzend empfhele ich dazu Harald Lesch, speziell zum Thema Kapitalozän, Christian Felber zum Thema Geneinwohlökonomie und ergänzend Richard David Precht. Und natürlich gibt es noch einige weitere spannende Quellen. ""Würden die Menschen unser Geldsystem verstehen, dann gäbe es eine Revolution noch vor morgen früh"" Henry Ford",0,1,1
26,""" 675 Milliarden!"" Das ist dein Denkfehler. Auf was für Einnamen kann denn der Staat Deutschland zurück greifen?",0,0,1
27,"@USER Artikel 14 GG ist sicherlich bekannt. Wobei Artikel 151 der bayrischen Verfassung viel witziger ist. Mal ein paar Beispiele. Die reichsten 10! Menschen in Deutschland verfügen über ca. 150 Milliarden Euro. Die reichsten 500 Menschen verfügen über ein Vermögen von 750 Milliarden Euro. Das reichste 1% der Menschen in Deutschland verfügt über 33% des Gesamtvermögens. Die reichsten 10% der Menschen in Deutschland verfügen über 66% des gesamten Vermögens. Das Problem bei diesen Zahlen sind, dass es Schätzungen sind. 1995 wurde die Vermögenssteuer ausgesetzt, weil die Vermögen nicht ausreichend erfasst werden. Bis heute hat sich daran nichts geändert. Dem einen sein Vermögen sind des anderen seine Schulden. 16,8% der Menschen in Deutschland leben unterhalb der Armutsgrenze. Und je größer das Vermögen, desto größer die Zinssummen, die WIR arbeitende Bevölkerung erwirtschaften müssen. Die Reichen haben die macht ihre Steuern zu „optimieren“ Sei es durch gekaufte Gesetze oder durch Steueroasen. Panamapapers, Paradisepapers und wie die anderen Steuerschlupflöcher alle heißen.",0,1,1
28,"3) Unser Geldsystem (Euro, Eurokrise, alternative Geldsysteme, BGE, Umverteilung, Gemeinwohlökonomie) ****************************************************************** - Volker Pispers über unser Geldsystem https://www.youtube.com/watch?v=bf-NPB4INjU - Wie Geld funktioniert - Einfach erklärt https://www.youtube.com/watch?v=0VAJY0Oq6K8&t=280s - Mr. Dax Dirk Müller über unser Geldsystem https://www.youtube.com/watch?v=WTW49tr-mNE - Dirk Müller über unser Geldsystem https://www.youtube.com/watch?v=ihT6uOSl5s0 - 23.01.2013 Bernd Senf: Zinsesszins, Geldschöpfung und Spekutaltin https://www.youtube.com/watch?v=zfWpE1vSuO0 - Planet Wissen: Der Chiemgauer https://www.youtube.com/watch?v=M4LI3_tfteA - 06.01.2019 Weltwirtschaftskrise 1929 - Silvio Gesell & ""Das Wunder von Wörgl"" - Experiment Regionalgeld https://www.youtube.com/watch?v=mHH1dOYqzTg - Heiner Flassbeck: Ist der Kapitalismus am Ende? https://www.youtube.com/watch?v=2fvD8Koj3f8 - 04.02.2017 WAS IST LOS IN EUROPA? Podium mit Flassbeck (Makroskop) und Lücke (IfW) in Kiel https://www.youtube.com/watch?v=a9mduhSSC5w - Andreas Popp - Wir sind nicht verschuldet. https://www.youtube.com/watch?v=X0GzMWaeI3s Alternative Geldsysteme ******************** - Die kommende Demokratie: Sozialismus 2.0 https://www.youtube.com/watch?v=KStivMNdbxE - Bruno Kreisky Forum: SAHRA WAGENKNECHT REICHTUM OHNE GIER (13.6.2016) https://www.youtube.com/watch?v=X1OUemq-82k - Andreas Popp – Plan B https://www.youtube.com/watch?v=l2ApFesIGdc - Gültige Stimme - Andreas Popp im Verhör bei Roland Düringer https://www.youtube.com/watch?v=m_9VyBZ_JDM - Dirk Müller auf dem Jahrestreffen des Diplomatic Council - Für ein faires Finanzsystem https://www.youtube.com/watch?v=56jt_fK9JcA - Gemeinwohl-Ökonomie - Christian Felber: Wirtschaft neu denken https://www.youtube.com/watch?v=PBxKPAu8lvA Über den EURO und die Eurokrise --------------------------------------------------------------------------- - Heiner Flassbeck: Warum die Rettung Europas nicht gelingen kann (Der Euro und warum er nicht funktioniert) https://www.youtube.com/watch?v=jvUfaN9z1_Q - Vortrag Heiner Flassbeck (24.11.2017, Haus der EU Wien) https://www.youtube.com/watch?v=V-Uq1J-a4rk - Heinz-Josef Bontrup Heinz-Josef Bontrup: Die Mainstream-Ökonomie und ihr Versagen https://www.youtube.com/watch?v=NmPh5YGGNwo - KenFM im Gespräch mit: Heinz-Josef Bontrup https://www.youtube.com/watch?v=RNS_WYeNSrs - Die Griechenlandlüge https://www.youtube.com/watch?v=QIlqJbLdB78 - Macht ohne Kontrolle – die Troika https://www.youtube.com/watch?v=kRRPi_BaqDA - Macht ohne Kontrolle: Die Troika - Jung & Naiv: Folge 226 https://www.youtube.com/watch?v=26MxfU2wBXM - EU Poly - Ein europäischer Alptraum https://www.youtube.com/watch?v=kz1FnBoRwkk - @MEDIUM Doku Der große Euro Schwindel wie der ganze Irrsinn begann https://www.youtube.com/watch?v=lo2YLWEMAz8 - DIE EXPORTLÜGE 1 - WIE DEUTSCHLAND sich in den ABGRUND FÄHRT! - Hans-Werner Sinn, Günter Verheugen https://www.youtube.com/watch?v=7PcHuoE33Co - Die Anstalt – Die Exportwippe https://www.youtube.com/watch?v=02jXIWb47gk - 27.08.2018 Kontraste: Die Opfer des Exportweltmeisters - Wie Deutschland Arbeitslosigkeit in Europa produziert https://www.youtube.com/watch?v=QBp8_YYihKc - Sendung @MEDIUM Monitor Bankenrettung https://www.youtube.com/watch?v=CbyapEfL4Vg - Staatsgeheimnis Bankenrettung ARTE Doku https://www.youtube.com/watch?v=JYdP2FJy_bY Bedingungsloses) Grundeinkommen (BGE) *********************************** - 08.07.2015 Bielefelder Parteitag der Partei „Die Linke"": Diskussion zum Bedingungslosen Grundeinkommen https://www.youtube.com/watch?v=zhDJAHWeLU8 - 02.09.2012 Argumentationen gegen ein bedingungsloses Grundeinkommen https://www.youtube.com/watch?v=EcQIzkcioiI - 11.12. 2017 Prof. Dr. Sascha Liebermann - Bedingungsloses Grundeinkommen https://www.youtube.com/watch?v=HcekSMoPsiw - 18.05.2017 Digitalisierung und Grundeinkommen – mit Richard David Precht https://www.youtube.com/watch?v=8a-OgbAi2Sg - 11.12.2017 Prof. Dr. Sascha Liebermann - Bedingungsloses Grundeinkommen https://www.youtube.com/watch?v=HcekSMoPsiw&t=602s - Netzwerk Grundeinkommen https://www.grundeinkommen.de/ - Detailierte Informationen über den Vorschlag DIE LINKE über ein Grundeinkommen http://www.die-linke-grundeinkommen.de/fileadmin/lcmsbaggrundeinkommen/PDF/BAG_Brosch2016.pdf - BAG Grundeinkommen DIE LINKE https://www.die-linke-grundeinkommen.de/nc/grundeinkommen/aktuell/ Sonstiges: ******** - Die Anstalt: Thema Umverteilung https://www.youtube.com/watch?v=eCMF3fSH_JQ&t=341s - KenFM-Positionen 5: Geld regiert die Welt - Welchen Anteil am Elend hat der Zins? https://www.youtube.com/watch?v=ftKjE9yKz4o - Richard David Precht | Palais Dresden | Wie werden wir leben? Gemeinwohl-Ökonomie, Bedingungsloses Grundeinkommen https://www.youtube.com/watch?v=X9JbqhJu80w - ""Wirtschaft ohne Wachstum"" Prof. M. Kennedy, Dirk Müller, Prof. H. Peukert, Prof. H. Spehl (1/2) "" https://www.youtube.com/watch?v=_jeWd4SF35s - Wirtschaft ohne Wachstum"" Prof. M. Kennedy, Dirk Müller, Prof. H. Peukert, Prof. H. Spehl (2/2) https://www.youtube.com/watch?v=_cnxVUxcg1A - Ulrike Guerot über die Utopie der ""Europäischen Republik"" - Jung & Naiv: Folge 331 https://www.youtube.com/watch ?v=vIrdZjBBM5g&index=9&list=PLhuamIX_U9Z1OANh2UwlCtuGRH_CsujE- - KenFM im Gespräch mit: Heinz-Josef Bontrup https://www.youtube.com/watch?v=RNS_WYeNSrs - 03.09.2011 Finanzgeschäfte 1 A erklärt https://www.youtube.com/watch?v=ui2FaoG24no - 02.05.2018 1. Mai in Witten: Rede von Prof. Heinz-J. Bontrup https://www.youtube.com/watch?v=CwLpN-nE6Dg - 23.10. 2018 Ernst Wolff Die Krise am Horizont, Zehn Jahre nach der Finanzkrise-Keines der Probleme gelöst. https://www.youtube.com/watch?v=NKhbD-WKA6k - 06.08.2017 KenFM-Positionen 11: Der globale Marshallplan - Konzepte für eine Welt von morgen https://www.youtube.com/watch?v=wnyfSAIQ0B0 - 18.01.2017 Bernd Senf – Der Nebel um das Geld https://www.youtube.com/watch?v=USXb4BFGLss - 27.01.2018 Prof. Bontrup - Wirtschaftliche Macht https://www.youtube.com/watch?v=MPCIjumnvrI&t=1660s",0,1,1
29,"""Das Geld dafür kann man doch einfach drucken. Weggedieren Sie weiter‼️"" Ich verweise auf die grundegelde Funktionsweise unseres Geldsystems und die Ausarbeitung der BAG Grundeinkomen DIE LINKE.",0,1,1
30,"Zu dem verweise ich gerne auf meine Facebookseite ""Neu denken""",0,1,1
31,"@USER Geld ist genug da. Oder mit Volker Pispers Worten mal zu sagen:"" Geld ist eine Fantasie""",0,0,1
32,@USER Wir bezahlen auch nur mit unserem Vertrauen. Mehr nicht. 1973 wurde der Goldstandart beendet. Einen direkten Gegenwert hat Geld nicht.,0,0,1
33,War schon Thema bei Illner. Könnt ihr euch nicht abstimmen? Am besten noch die selben Leute einladen.,0,0,1
34,soll er keine Rente erhalten? Übrigens bekommt auch jeder Beamter Geld von uns Steuerzahlern,0,0,1
35,"Wie doof muß man eigentlich sein,um diesen Lügnern dieses Sozialpaket ab zunehmen,wer hat denn die Agenta 2010 auf den Weh gebracht.Und nun merken die Verbrecher auf einmal,au, uns laufen ja die Wähler weg, besonders im Osten. Man Leute , wacht doch endlich auf,wie oft lasst Ihr Euch noch verarschen. Die haben einfach Angst.",1,0,1
36,Passt zum Thema Friedmann gestern wo die CDU Politikerin sagte das Gering Verdiener sich Immobilen kaufen sollen damit sie später nicht bedürftig werden 👎👎👎😡😡😡,1,0,1
37,Diese Ankündigungen werden immer vor Wahlen gemacht und gehalten wird nichts. Wann begreift der Bürger das entlich mal .,1,0,1
38,...ohne Kommentar!!!!,1,0,0
39,Die Idee einer Grundrente kommt von der Linkspartei. Die SPD hat Jahre lang gegen die Grundrente gewettert. Die SPD versucht so ihren Arsch zu retten. Ich finde die Grundrente sollte Steuerfrei sein und zum Leben reichen. Also nicht unter 1000 Euro.,1,1,1
40,"WER zahlt den die Steuern, @USER....das ist das Geld der Allgemeinheit, oder sehe ich das falsch,,,??",1,0,1
41,"Gestern bei Illner, Montag bei @MODERATOR ...ist das nicht langsam ÖR-Parteihilfe wie bei den Grünlingen ? 🤦‍♀️🤬",1,0,1
42,Mein Gott der war erst gestern bei Illner. Die Redaktionen VERSAGEN.,1,0,1
43,@USER Die CDU lässt das so wie so nicht zu . Sagen doch nur wenn sie Reichen was bekommen sollen ( 10 Milliarden für die Hotellobby),1,0,1
44,"Sehr gut analysiert - bin ich vollkommen konform....! Aber @USER bitte das nächste Mal mit einer orthographischen, einigermaßen korrekten, Schreibweise......Danke!",0,1,0
45,"Bei meiner beschissenen Rente als 2x Geschiedener Mann muss ich auch noch Steuern und Krankenkasse bezahlen. Auf meine Privaten Geldanlagen gab und gibt es auch keine Zinsen . Ihr solltet euch schämen und in Hölle braten,,,,,,🙊🙈🙉",1,0,1
46,"Wer 40 Jahre zum Mindestlohn arbeiten muß, erhält 514€ Rente dafür ....DAS ist doch das Grundproblem 🤦‍♀️ Wir steuern somit sehenden Auges in die Massenaltersarmut ! Habe selbst jetzt jahrelang zum Mindestlohn gearbeitet , netto 1147€ bei Stkl.1 . Ergebnis ist jetzt ein ALG1 von 769€ . 500.000 anderen Beschäftigten im Callcenter geht es da auch so ...und da hilft kein Gesabbel ! Lösungen müssen her ! 🤦‍♀️ Zum Gießkannenprinzip halte ich entgegen , was ist mit dieser Gießkanne hier ?? 🤬 https://www.nzz.ch/meinung/kommentare/die-fluechtlingskosten-sind-ein-deutsches-tabuthema-ld.1316333 Das angebliche 25 Milliardenloch vom Scholz ist übrigens hier 😡 https://www.welt.de/wirtschaft/article181239154/Haushaltsreserve-Warum-die-Regierung-24-Milliarden-Euro-fuer-Fluechtlinge-zurueckhaelt.html",1,1,1
47,"Wenn ich immer lese ""Das muss die jüngere Generaltion"" bezahlen, dann fall ich immer lachend vom Stuhl. Ja, es können Schulden enstehen. Aber was stehen diesen Schulden denn gegenüber? Richtig! Es ensteht die EXAKT selbe Menge an Guthaben. Und dass kann man steuern. Und deswegen nennt man die Steuern auch Steuern um die Geldmenge zu stuern.",0,1,1
48,"Das machen wir doch. Und deswegen zerstören wir ja die Eurozone und viele Länder berschweren sich über unsere Außenhandelsbilanzüberschüsse. Ins Detail geht da z.B. Heiner Flassbeck mit seinem Makroskop, und Heinz Joesf Bontrup. Ergänzende Informationen gibt es von Bernd Senf und Mr. Dax Dirk Müller. Wer dann noch langeweile hat, der sollte sich mit dem ""Reichtum ohne Gier"" von Sahra Wagenknecht und der Gemeinwohlökonomie von Christian Felber auseinander setzen. Natürlich sollte man sich voher gundlegend über unser Geldsystem infomieren. Und keine Sorge, ich habe eine überwiegend leicht zu verstehende Infomrationssammlung zu diesem Thema zusammengestellt. Gerne kannst du auf meiner Facebookseite ""Neu denken"" vorbei schauen.",0,1,1
49,@USER noch mehr Bürokratie? Gleiches Geld für alle und fertig!,0,0,0
50,@USER alle ausreisepflichtige Flüchtlinge raus.,0,0,0
51,"@USER Doch wurde und wird was verteilt , die Diäten der Abgeordneten . Da sollte man 40% Streichen Dann hätten die immer noch zuviel",0,0,0
52,@USER Wieso Schule,0,0,0
53,Die jüngere Generation bekommt so viel Kindergeld wie keine Generation. Dürfen auch was zurück geben,0,1,1
54,"Es ist fatal die einen hilfesuchenden Menschen, gegen andere hilfesuchende Menschen auszuspielen. Anstatt nach unten zu treten müssen wir endlich nach oben die die Augen unserer Ausbeuter schauen.",0,0,0
55,"Ich bin ganz klar für die Besteuerung. Nur müssen Einkommen bis 7.100 Euro entlastet werden und darüber hinaus wesentlich stärker belastet. Speziell bei Renten benötigen wir nicht nur eine Untergrenze, sondern auch eine Obergrenze.",0,1,0
56,"Also eine gleiche Rente für alle? Wie wäre es mit einem BGE von 1.200 Euro und wer mehr haben möchte, der muss arbeiten gehen und oder einen Teil des Geldes, was er durch Arbeit verdient hat zur Seite legen.",0,1,0
57,"keine Sorge, sie wussten es.",0,0,1
58,"Gute Kritik, doch wir brauchen nicht nur 13 Euro Mindestlohn (12,68€ Pro Stunde benötigt man laut Bundesregierung um nicht auf Hartz4 angewiesen sein zu müssen) Sondern wir benötigen auch eine sanktionsfreie Mindestsicherung, oder ein Grundeinkommen, für all diejenigen, die kaum oder gar nicht gearbeitet haben bzw. konnten. Jeder Mensch hat das recht auf ein menschenwürdiges Leben mit Teilhabe an der Gesellschaft.",0,1,1
59,"@USER, warum wählt man eine Partei, die den Tod von Menschen in Deutschland willentlich in kauf nimmt?",0,0,0
60,"Wie wäre es mit der Steuerpolitik der Partei DIE LINKE, die Einkommen bis 7.100€ entlasten und die Einkommen darüber mehr belasten möchte.",0,1,0
61,"Ich schmeiß mich weg... 800 Euro sollen für ein ""vernünftiges"" Leben ausreichen?",0,0,0
62,"Und wer weniger als 35 Jahre gearbeitet hat, muss von der Grusi leben. Hier sieht man mal die asoziale Ausrichtung dieser Partei.",1,0,1
63,"Wenn ich mich nicht täusche, ist die Dame sehbehindert oder sogar Blind. Der Kommentar ist entwürdigend und völlig daneben!!!",1,1,1
64,"Ja, die Grundrente ist wichtig! Vorallem für Menschen, die aufgrund einer Erkrankung, Unfall etc. pp nicht so arbeiten gehen können wie ein gesunder Mensch! Und keiner soll mir mit Grundleistung des Sgb 12 Gesetzes kommen, das reicht vorne und hinten nicht!",0,1,0
65,"Herr/Frau wer auch immer, wenn ein Mensch wenig in die Rentenkasse eingezahlt hat, aus welchen Gründen auch immer, kann dieser Rentner leider keine zigtausend Euro Rente bekommen. So unschön das auch ist.",0,0,1
66,"@USER ich hatte zuletzt in der Arbeitnehmerüberlassung ein Einkommen von 2.300 Euro netto, Steuerklasse 1, kein Studium. Zeitarbeit bedeutet nicht zwangsläufig geringes Einkommen. Und auch nicht jeden Tag woanders arbeiten.",0,1,0
67,"@USER habe letztens erst gehört, dass einige Geschäfte Nichte mehr an die Tafeln abgeben dürfen es sei denn, die bezahlen das Gesundheitsamt dafür das die Lebensmittel welche an die Tafeln gehen würden von denen überprüfen lassen. Der Gesetzgeber hat damit Dünndärmen Menschen erneut die Möglichkeit genommen etwas für wenig Geld zu bekommen. Ich befürchte, dass einige Geschäfte ihre nich haltbaren Lebensmittel lieber in die Tonne kloppen statt dafür zu bezahlen das die Tafeln und somit die arme Bevölkerung etwas davon haben. Ich sage nur armes Deutschland",0,1,1
68,"@USER Frauen sind aber oft die, die wegen Kindererziehung nicht genug Rentenpapier zusammen bekommen. Wenn dann noch ein Kind da ist, welches kränkest und die Mutter deswegen erst sehr spät zurück auf Arbeit, dann hat’s in schlichtweg die Arschkarte. Und genau da muss sich was ändern. Mütter sollten, müssten so berechnet werden, als ob sie nie aufgehört haben zu arbeiten wenn sie zurück zur Arbeit gehen nach der Geburt",1,1,1
69,@USER das könnte aber durchaus geändert werden wenn zum einen die Arbeitgeber nicht nur immer an sich selber denken und dafür vernünftig Lohn bezahlen und zum anderen der Mindestlohn auf ein Level erhöht wird das man automatisch mehr in die Rente einzahlen kann und ggf sogar noch privat vorsorgen kann.,0,1,0
70,@USER wer nie arbeitet und nichts einzahlt bekommen nie Rente sondern bleibt auch im Rentenalter Sozialhilfeempfänger. Wer etwas anderes behauptet kennt die Rechtslage nicht,0,1,1
71,@USER wo haben Sie diese Zahl her? Von der AFD?,0,0,0
72,"@USER nicht ganz es sei denn, Sie haben nie die Schule besucht denn die Lehrer sind zu 95% verbeamtet",0,1,1
73,@USER wenn diese ehemals selbstständigen eingezahlt haben dann haben die auch ein Recht darauf. Ich kenne einen der zu Beginn seiner Selbstständigkeit noch eingezahlt hat später dann aber nicht mehr. Jetzt bekommt er Mindestrente.,0,1,0
74,"@USER dazu kommt ja noch, dass das Einkommen des Hinterbliebenen voll an die Witwen/r Rente angerechnet wird und die Rente um diese Summe gekürzt wird. Auch das eine Witwe oder ein Witwer der noch relativ jung nur eine kleine Rente, d.h. befristet auf 2 Jahre nur bekommt.",0,0,1
75,"@USER in Zeiten wie diese wo dieses Trampeltier von Trump mit den Kriegstreiber Putin kurz davor ist die Welt in einen 3. Weltkrieg zu stürzen denke ich mal müssen wir mit aufrüsten. Aber es wäre schön noch genug Geld da wenn nicht unser aller steuern in aller Herren Länder verteilt werden würde. Wenn endlich die Lobby das ansteuern bezahlen würde was die auch bezahlen müsste. Wenn die Gelder, die von der Lobby ins Ausland geschafft wurden per Gesetz zurück geholt und einbehalten werden würde. Aber hier werden die Lobbyisten geschützt und gleichzeitig unsere Steuergelder für die Rettung anderer Länder verplempert. Auch die Aussage Merkels, wenn die Briten aus der EU raus sind das dann wir deutschen einen Großteil der Zahlungen, die durch die Briten wegfallen übernehmen. Keiner kommt auf die Idee den EU Apparat zu reduzieren. Im Gegenteil, man will diesen sogar noch weiter aufblähen.",0,1,1
76,Mindestrente ja aber dafür dann den Regierenden das Gehalt um 50 % kürzen und die Diäten komplett streichen wegen Unfähigkeit.,1,1,0
77,"@USER mir ist durchaus bewusst, dass die Politiker nicht Milliarden bekommen aber trotzdem kann dieses Geld der RK zu gute kommen. Und auch die Gelder die von der BR in aller Herren Länder verschenkt werden und das sind Milliarden könnte für unsere Rentner und unsere Infrastruktur eingesetzt werden.",0,1,0
78,"@USER Alle Parteien ob CDU SPD CSU geschweige FDP hätten 30 Jahre Zeit was für die Mittelschicht und kleinen Leute was zu tun und immer vor Wahlen wird versprochen und sich den Bürger anzubiedern , doch nach der Wahl wie immer das gleiche! Nix Passiert. Die einzige die die Wahrheit gesagt haben waren die beiden Frauen . Soll doch mal der @MODERATOR und der vom Cizero Verlag Ihre Konten offen legen . Diese Menschen haben den Sozialstaat von der Kindheit an genauso Genosse wie jeder andere auch . Sollten sich jetzt vermehrt am Wohlstand aller Deutschen beteiligen",1,0,1
79,"Die ""Sozialpolitik"" der SPD ist asozial. Und nicht dass sich jemand noch Hoffnung macht, die ""Sozialpolitik"" der CDU, CSU, FDP, und AFD ist noch asozialer. Die Politik der Grünen ist auch nicht besser. Bleibt nur noch DIE LINKE als einzige Partei übrig, die sich für die Menschen einsetzt.",1,0,0
80,"@USER Natürlich ändern DIE LINKE alles. Warum bist du der Meinung, dass DIE LINKE auch nichts ändert?",0,0,0
81,"Die SPD, Verbrecher,die haben Angst vor den Wahlen in den neuen Bundesländern,weg mit Euch.",1,0,0
82,@USER Änoch vor der Wahl umsetzen sonst bleib5s wie immer,0,0,0
83,"Ich finde es beschämend, dass in dem Gremium Männer sitzen und über einen Vorschlag des Arbeitsminister diskutieren, selbst aber hohe Löhne einstecken und gar nicht wissen wie es ist in Armut zu leben, weil Sie das Glück hatten auf der Sonnenseite zu arbeiten! Wir reden hier auch um Summen welche sich Bundestags und Landtagsabgeordnete so ohne großes Nachdenken in den Diäten erhöhen! Das ist die Erhöhung nicht schamlos?",0,1,1
84,"Warum bekommen Beamte und ihre Gattinen soviel staatliche Vergünstigungen, warum bekommt eine Beamtenwitwe hohe finanzielle Zuwendung obwohl Sie niemals als Beamtin gearbeitet hat, ist dies nicht unwürdig?",0,0,1
85,"Wenn Manager Jahresgehälter von 38 Millionen einstecken, eine Betriebsrente von täglich 4200 Euro einsteckt, dann stimmt in diesem Lande nichts mehr, Menschen die mit Ihrer schwach bezahlten Arbeitskraft das Getriebe des Staates aufrechthalten , sollen diese Ungerechtigkeiten hinnehmen, nein es ist eine Unverschämtheit in der Behandlung von diesen Menschen!",0,1,1
86,@USER dagegen habe ich keinen Einwand!,0,0,0
87,Die Frau Ulffkotte ist ja Traumhaft gut,0,1,0
88,"@USER, nein, nicht wegen Rot-Grün, sondern wegen dem demografischen Wandel, der andere Handlungsweisen kaum noch möglich macht.",0,1,0
89,"Danke Frau Bentele und Frau Holotte so wie Herrn Arbeitsminister Heil, Wünsche ihm das er sein Ziel erreicht und das man ihm nicht zu viel Steine in den Weg legt von Seiten seinen Bundestagsabgeordneten mit ihren Fraktionen!",0,1,0
90,@USER Na was soll man den anderes von der FDP erwarten . Die Reichen Spenden doch schon Sooo viel ! Das was die Spenden müssten die sonst ans Finanzamt zahlen . Und Spenden können Sie sich wieder zum Tei erstatten lassen . Die sollte man für 10 Jahre in den Knast stecken denn über Geldstrafe Lachen die nur .,1,0,1
91,@USER Hoffentlich denken die Wähler alle so,0,0,0
